GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WebCheckers Application Tier Test Coverage,com.webcheckers.ui,PostValidateMoveRoute,0,189,1,12,0,37,1,10,0,3
WebCheckers Application Tier Test Coverage,com.webcheckers.ui,GetHomeRoute,0,166,0,6,0,32,0,6,0,3
WebCheckers Application Tier Test Coverage,com.webcheckers.ui,PostResignGame,0,38,0,0,0,10,0,3,0,3
WebCheckers Application Tier Test Coverage,com.webcheckers.ui,WebServer,120,0,0,0,22,0,3,0,3,0
WebCheckers Application Tier Test Coverage,com.webcheckers.ui,GetStartGameRoute.view,34,0,0,0,1,0,1,0,1,0
WebCheckers Application Tier Test Coverage,com.webcheckers.ui,GetSigninRoute,0,52,0,0,0,13,0,3,0,3
WebCheckers Application Tier Test Coverage,com.webcheckers.ui,PostBackupRoute,0,36,0,0,0,9,0,3,0,3
WebCheckers Application Tier Test Coverage,com.webcheckers.ui,PostSignInRoute,0,95,1,3,0,24,1,5,0,3
WebCheckers Application Tier Test Coverage,com.webcheckers.ui,GetStartGameRoute,21,323,2,12,2,62,2,9,0,4
WebCheckers Application Tier Test Coverage,com.webcheckers.ui,PostSignOutRoute,0,99,0,2,0,19,0,4,0,3
WebCheckers Application Tier Test Coverage,com.webcheckers.ui,PostCheckTurn,0,55,0,4,0,11,0,5,0,3
WebCheckers Application Tier Test Coverage,com.webcheckers.ui,PostSubmitTurn,0,97,0,12,0,24,0,9,0,3
WebCheckers Application Tier Test Coverage,com.webcheckers.model,Position,2,52,1,5,0,12,1,7,0,5
WebCheckers Application Tier Test Coverage,com.webcheckers.model,Move,2,52,1,5,0,12,1,7,0,5
WebCheckers Application Tier Test Coverage,com.webcheckers.model,Player,0,85,0,4,0,31,0,18,0,16
WebCheckers Application Tier Test Coverage,com.webcheckers.model,Space,19,129,6,26,7,34,6,25,2,13
WebCheckers Application Tier Test Coverage,com.webcheckers.model,Piece.Type,0,24,0,0,0,2,0,1,0,1
WebCheckers Application Tier Test Coverage,com.webcheckers.model,Board,14,243,3,33,3,43,2,26,0,10
WebCheckers Application Tier Test Coverage,com.webcheckers.model,Game,124,611,36,90,23,143,28,60,0,25
WebCheckers Application Tier Test Coverage,com.webcheckers.model,Piece,4,35,0,4,2,10,1,8,1,6
WebCheckers Application Tier Test Coverage,com.webcheckers.model,Piece.Color,0,24,0,0,0,2,0,1,0,1
WebCheckers Application Tier Test Coverage,com.webcheckers.model,Row,0,101,0,20,0,23,0,17,0,7
WebCheckers Application Tier Test Coverage,com.webcheckers,Application,114,0,4,0,34,0,8,0,6,0
WebCheckers Application Tier Test Coverage,com.webcheckers.appl,PlayerLobby,0,85,1,15,0,22,1,14,0,7
WebCheckers Application Tier Test Coverage,com.webcheckers.util,Message,6,62,0,2,1,11,1,8,1,7
WebCheckers Application Tier Test Coverage,com.webcheckers.util,ValidationResult,0,15,0,0,0,6,0,3,0,3
WebCheckers Application Tier Test Coverage,com.webcheckers.util,Message.Type,0,24,0,0,0,2,0,1,0,1
WebCheckers Application Tier Test Coverage,com.webcheckers.util,ValidationResult.TurnResult,0,44,0,0,0,1,0,1,0,1
WebCheckers Application Tier Test Coverage,com.webcheckers.util,MoveValidator,56,859,41,139,9,153,34,68,0,12
